Firstname;Lastname;Class;Password;Email
Moritz;Passenbrunner;1CHIF;d37f18b1f9ec7e72f79a4a2b631bc2611d3ea5f345cf80daa1a1c204e35e81f9;moritz@example.com
Daniel;Kirchmayr;3BHIF;a04a7f72b78719fc8908eb5b6b0c015716bd44e4650b9ac05e56abec0b4573f8;daniel@example.com
Anna;Schmidt;2AHIF;6f19e2aa7ed12f988d9ed4d405d33c5b79286e9051d35b45efb3db1f5a7ebfb2;anna@example.com
Markus;Müller;4CHIF;5357139cfc86e3e8e7cb0b7c938c413c8aa23633aebaf1860b69d9e793e368ac;markus@example.com
Julia;Maier;1AHIF;daa3f03c762b754a81e19e70f53a53fb0e3d4f5240b0d6f2e71e13a3df69a95d;julia@example.com
Simon;Wagner;3AHIF;94638e66c73ecb3307e918f59e5d3075f6935272d57369b3e1c1104d7ce0eab7;simon@example.com
Laura;Huber;2CHIF;ba0f1e309d129c17d5d93d17663e12619ed4964b0ad5031544f8e650f497f3f8;laura@example.com
Michael;Schneider;4AHIF;9a1e0c3eb79c96f5016c7f7bc4c8669c0c7e8b70c48f003a7ad11b9772e2c09f;michael@example.com
Sophie;Bauer;1BHIF;2e6b94de286a1420fb1347477cb173bf516a5d5b56f7448795dfcf6e6b50a2c2;sophie@example.com
Max;Fischer;3CHIF;b2f24654427c50a07936ee1a4bea847d64a4f1330888a82e8969350eb74053c5;max@example.com
Hannah;Weber;2BHIF;457773dd20885a2fcf12db021d3c70b8fb8f8fb50e5c68ac38f300b4de346f44;hannah@example.com
Andreas;Schuster;4BHIF;695b07ec90fba3b2f4c870b9f44e8c42a97bc21d2ea46f48dbf01a33ce59f257;andreas@example.com
Lena;Hofmann;1CHIF;8e6e01976c256a86d6aa03639e6d9731502e1ab58d2a9c738ac2e5e85cde924c;lena@example.com
Niklas;Heller;3BHIF;8a6ea477c48e52a1c3c8e7f9d4461e4771d7274953d86a3a1231f783a25bb26c;niklas@example.com
Sarah;Mayer;2AHIF;fe51de731edc35be4ba74bc00b29fbb8328b43089fe9e6d050929ff070f086c3;sarah@example.com
Jonas;Becker;4CHIF;c75a7c56cfe57ef0f20c7948ff7bb4282d187f21da573ed6b1a4ddaa4e72355c;jonas@example.com
Eva;Lechner;1AHIF;9c25d75f582eae73c6ad191b15189c61346274f19a7a4f5516b07592b3e784e6;eva@example.com
David;Lange;3AHIF;a019e5b158db16a095e16bde727a3bb1e5cace89098ff7ef8a16f143b28e42bf;david@example.com
Mia;Steiner;2CHIF;bc5503bf30b66da13b1b5d4f23794c915394d527fc678a7f9fe802703869e76f;mia@example.com
Christian;König;4AHIF;77e524e55fbaa0d46e37ce64e077175207d17a4e8c9ee0f8c848c15a14e7c11b;christian@example.com
Lisa;Graf;1BHIF;da242875d7627f1849164a8d15f72ee2f91b0633ed7032a85ed4e7d4e47e86f4;lisa@example.com
